Words,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,Phonemes,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
usually,u,s,u,a,l,l,y,?,?,?,?,?,?,?,0j7SQli,0,j,7,S,Q,l,i,?,?,?
value,v,a,l,u,e,?,?,?,?,?,?,?,?,?,0valj7,0,v,a,l,j,7,?,?,?,?
various,v,a,r,i,o,u,s,?,?,?,?,?,?,?,0v3r£s,0,v,3,r,£,s,?,?,?,?
vehicle,v,e,h,i,c,l,e,?,?,?,?,?,?,?,0v5Ik(A)l,0,v,5,I,k,(A),l,?,?,?
version,v,e,r,s,i,o,n,?,?,?,?,?,?,?,0v4F(A)n,0,v,4,F,(A),n,?,?,?,?
very,v,e,r,y,?,?,?,?,?,?,?,?,?,?,0veri,0,v,e,r,i,?,?,?,?,?
victory,v,i,c,t,o,r,y,?,?,?,?,?,?,?,0vIkt(A)ri,0,v,I,k,t,(A),r,i,?,?
video,v,i,d,e,o,?,?,?,?,?,?,?,?,?,0vIdIZ,0,v,I,d,I,Z,?,?,?,?
view,v,i,e,w,?,?,?,?,?,?,?,?,?,?,vj7,v,j,7,?,?,?,?,?,?,?
visit,v,i,s,i,t,?,?,?,?,?,?,?,?,?,0vIzIt,0,v,I,z,I,t,?,?,?,?
voice,v,o,i,c,e,?,?,?,?,?,?,?,?,?,v$s,v,$,s,?,?,?,?,?,?,?
vote,v,o,t,e,?,?,?,?,?,?,?,?,?,?,vZt,v,Z,t,?,?,?,?,?,?,?
wait,w,a,i,t,?,?,?,?,?,?,?,?,?,?,w!t,w,!,t,?,?,?,?,?,?,?
walk,w,a,l,k,?,?,?,?,?,?,?,?,?,?,w6k,w,6,k,?,?,?,?,?,?,?
wall,w,a,l,l,?,?,?,?,?,?,?,?,?,?,w6l,w,6,l,?,?,?,?,?,?,?
want,w,a,n,t,?,?,?,?,?,?,?,?,?,?,wont,w,o,n,t,?,?,?,?,?,?
war,w,a,r,?,?,?,?,?,?,?,?,?,?,?,w6,w,6,?,?,?,?,?,?,?,?
watch,w,a,t,c,h,?,?,?,?,?,?,?,?,?,wo1,w,o,1,?,?,?,?,?,?,?
water,w,a,t,e,r,?,?,?,?,?,?,?,?,?,0w6tA,0,w,6,t,A,?,?,?,?,?
way,w,a,y,?,?,?,?,?,?,?,?,?,?,?,w!,w,!,?,?,?,?,?,?,?,?
we,w,e,?,?,?,?,?,?,?,?,?,?,?,?,w5,w,5,?,?,?,?,?,?,?,?
weapon,w,e,a,p,o,n,?,?,?,?,?,?,?,?,0wep(A)n,0,w,e,p,(A),n,?,?,?,?
wear,w,e,a,r,?,?,?,?,?,?,?,?,?,?,w3,w,3,?,?,?,?,?,?,?,?
week,w,e,e,k,?,?,?,?,?,?,?,?,?,?,w5k,w,5,k,?,?,?,?,?,?,?
weight,w,e,i,g,h,t,?,?,?,?,?,?,?,?,w!t,w,!,t,?,?,?,?,?,?,?
welcome,w,e,l,c,o,m,e,?,?,?,?,?,?,?,0welkAm,0,w,e,l,k,A,m,?,?,?
well,w,e,l,l,?,?,?,?,?,?,?,?,?,?,wel,w,e,l,?,?,?,?,?,?,?
what,w,h,a,t,?,?,?,?,?,?,?,?,?,?,wot,w,o,t,?,?,?,?,?,?,?
whatever,w,h,a,t,e,v,e,r,?,?,?,?,?,?,wot0evA,w,o,t,0,e,v,A,?,?,?
when,w,h,e,n,?,?,?,?,?,?,?,?,?,?,wen,w,e,n,?,?,?,?,?,?,?
where,w,h,e,r,e,?,?,?,?,?,?,?,?,?,w3,w,3,?,?,?,?,?,?,?,?
whether,w,h,e,t,h,e,r,?,?,?,?,?,?,?,0weTA,0,w,e,T,A,?,?,?,?,?
which,w,h,i,c,h,?,?,?,?,?,?,?,?,?,wI1,w,I,1,?,?,?,?,?,?,?
while,w,h,i,l,e,?,?,?,?,?,?,?,?,?,w8l,w,8,l,?,?,?,?,?,?,?
white,w,h,i,t,e,?,?,?,?,?,?,?,?,?,w8t,w,8,t,?,?,?,?,?,?,?
who,w,h,o,?,?,?,?,?,?,?,?,?,?,?,h7,h,7,?,?,?,?,?,?,?,?
who,w,h,o,?,?,?,?,?,?,?,?,?,?,?,hU,h,U,?,?,?,?,?,?,?,?
whole,w,h,o,l,e,?,?,?,?,?,?,?,?,?,hZl,h,Z,l,?,?,?,?,?,?,?
whom,w,h,o,m,?,?,?,?,?,?,?,?,?,?,h7m,h,7,m,?,?,?,?,?,?,?
whose,w,h,o,s,e,?,?,?,?,?,?,?,?,?,h7z,h,7,z,?,?,?,?,?,?,?
why,w,h,y,?,?,?,?,?,?,?,?,?,?,?,w8,w,8,?,?,?,?,?,?,?,?
wide,w,i,d,e,?,?,?,?,?,?,?,?,?,?,w8d,w,8,d,?,?,?,?,?,?,?
wife,w,i,f,e,?,?,?,?,?,?,?,?,?,?,w8f,w,8,f,?,?,?,?,?,?,?
will,w,i,l,l,?,?,?,?,?,?,?,?,?,?,wIl,w,I,l,?,?,?,?,?,?,?
win,w,i,n,?,?,?,?,?,?,?,?,?,?,?,wIn,w,I,n,?,?,?,?,?,?,?
winner,w,i,n,n,e,r,?,?,?,?,?,?,?,?,0wInA,0,w,I,n,A,?,?,?,?,?
wish,w,i,s,h,?,?,?,?,?,?,?,?,?,?,wIF,w,I,F,?,?,?,?,?,?,?
with,w,i,t,h,?,?,?,?,?,?,?,?,?,?,wIT,w,I,T,?,?,?,?,?,?,?
within,w,i,t,h,i,n,?,?,?,?,?,?,?,?,wIT0In,w,I,T,0,I,n,?,?,?,?
without,w,i,t,h,o,u,t,?,?,?,?,?,?,?,wIT09t,w,I,T,0,9,t,?,?,?,?
woman,w,o,m,a,n,?,?,?,?,?,?,?,?,?,0wUmAn,0,w,U,m,A,n,?,?,?,?
wonder,w,o,n,d,e,r,?,?,?,?,?,?,?,?,0wundA,0,w,u,n,d,A,?,?,?,?
word,w,o,r,d,?,?,?,?,?,?,?,?,?,?,w4d,w,4,d,?,?,?,?,?,?,?
work,w,o,r,k,?,?,?,?,?,?,?,?,?,?,w4k,w,4,k,?,?,?,?,?,?,?
worker,w,o,r,k,e,r,?,?,?,?,?,?,?,?,0w4kA,0,w,4,k,A,?,?,?,?,?
world,w,o,r,l,d,?,?,?,?,?,?,?,?,?,w4ld,w,4,l,d,?,?,?,?,?,?
worth,w,o,r,t,h,?,?,?,?,?,?,?,?,?,w4O,w,4,O,?,?,?,?,?,?,?
would,w,o,u,l,d,?,?,?,?,?,?,?,?,?,wUd,w,U,d,?,?,?,?,?,?,?
would,w,o,u,l,d,?,?,?,?,?,?,?,?,?,wAd,w,A,d,?,?,?,?,?,?,?
write,w,r,i,t,e,?,?,?,?,?,?,?,?,?,r8t,r,8,t,?,?,?,?,?,?,?
writer,w,r,i,t,e,r,?,?,?,?,?,?,?,?,0r8tA,0,r,8,t,A,?,?,?,?,?
wrong,w,r,o,n,g,?,?,?,?,?,?,?,?,?,roN,r,o,N,?,?,?,?,?,?,?
year,y,e,a,r,?,?,?,?,?,?,?,?,?,?,j£,j,£,?,?,?,?,?,?,?,?
year,y,e,a,r,?,?,?,?,?,?,?,?,?,?,j4,j,4,?,?,?,?,?,?,?,?
yes,y,e,s,?,?,?,?,?,?,?,?,?,?,?,jes,j,e,s,?,?,?,?,?,?,?
yesterday,y,e,s,t,e,r,d,a,y,?,?,?,?,?,0jestAd!,0,j,e,s,t,A,d,!,?,?
yesterday,y,e,s,t,e,r,d,a,y,?,?,?,?,?,0jestAdi,0,j,e,s,t,A,d,i,?,?
yet,y,e,t,?,?,?,?,?,?,?,?,?,?,?,jet,j,e,t,?,?,?,?,?,?,?
you,y,o,u,?,?,?,?,?,?,?,?,?,?,?,j7,j,7,?,?,?,?,?,?,?,?
young,y,o,u,n,g,?,?,?,?,?,?,?,?,?,juN,j,u,N,?,?,?,?,?,?,?
your,y,o,u,r,?,?,?,?,?,?,?,?,?,?,j6,j,6,?,?,?,?,?,?,?,?
your,y,o,u,r,?,?,?,?,?,?,?,?,?,?,jQ,j,Q,?,?,?,?,?,?,?,?
TRUE,T,R,U,E,?,?,?,?,?,?,?,?,?,?,tr7,t,r,7,?,?,?,?,?,?,?
